vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a211101,(고용형태)  지난 3개월 중 일한 경험
a211102,(고용형태)  일자리 개수
jobnum1,(고용형태)  일자리 번호  1
a211201,(고용형태)  개인사업자 여부    1
a211202,(고용형태)  사업자등록증 여부   1
a211203,(고용형태)  고용여부    1
a211204,(고용형태)  서비스나 상품 가격 결정   1
a211205,(고용형태)  지시나 규율여부    1
a211206,(고용형태)  소득 결정 방법    1
a211207,(고용형태)  일의 종류   1
a211208,(고용형태)  일의 장소   1
a211209,"(고용형태)  일감을 얻기 위해 컴퓨터, 핸드폰, PDA 사용여부    1"
a211210,"(고용형태)  컴퓨터, 핸드폰, PDA 사용여부  1"
a211211,(고용형태)  근무일수    1
a211212,(고용형태)  근무시간    1
a211213,(고용형태)  대기시간 포함여부   1
a211214,(고용형태)  대기시간    1
a211215,(고용형태)  월평균 소득  1
a211216,(고용형태)  한 회사를 통한 소득 비중  1
a211217,(고용형태)  세금여부    1
jobnum2,(고용형태)  일자리 번호  2
a211301,(고용형태)  개인사업자 여부    2
a211302,(고용형태)  사업자등록증 여부   2
a211303,(고용형태)  고용여부    2
a211304,(고용형태)  서비스나 상품 가격 결정   2
a211305,(고용형태)  지시나 규율여부    2
a211306,(고용형태)  소득 결정 방법    2
a211307,(고용형태)  일의 종류   2
a211308,(고용형태)  일의 장소   2
a211309,"(고용형태)  일감을 얻기 위해 컴퓨터, 핸드폰, PDA 사용여부    2"
a211310,"(고용형태)  컴퓨터, 핸드폰, PDA 사용여부  2"
a211311,(고용형태)  근무일수    2
a211312,(고용형태)  근무시간    2
a211313,(고용형태)  대기시간 포함여부   2
a211314,(고용형태)  대기시간    2
a211315,(고용형태)  월평균 소득  2
a211316,(고용형태)  한 회사를 통한 소득 비중  2
a211317,(고용형태)  세금여부    2
jobnum3,(고용형태)  일자리 번호  3
a211401,(고용형태)  개인사업자 여부    3
a211402,(고용형태)  사업자등록증 여부   3
a211403,(고용형태)  고용여부    3
a211404,(고용형태)  서비스나 상품 가격 결정   3
a211405,(고용형태)  지시나 규율여부    3
a211406,(고용형태)  소득 결정 방법    3
a211407,(고용형태)  일의 종류   3
a211408,(고용형태)  일의 장소   3
a211409,"(고용형태)  일감을 얻기 위해 컴퓨터, 핸드폰, PDA 사용여부    3"
a211410,"(고용형태)  컴퓨터, 핸드폰, PDA 사용여부  3"
a211411,(고용형태)  근무일수    3
a211412,(고용형태)  근무시간    3
a211413,(고용형태)  대기시간 포함여부   3
a211414,(고용형태)  대기시간    3
a211415,(고용형태)  월평균 소득  3
a211416,(고용형태)  한 회사를 통한 소득 비중  3
a211417,(고용형태)  세금여부    3
version,21차년도 release 자료
