vname,lname
pid,개인고유번호 
wave,패널차수(부가조사 조사차수)
a177101,(시간사용) (취업자)  문1. 업무 시작 : 일
a177102,(시간사용) (취업자)  문1. 업무 시작 : 시
a177103,(시간사용) (취업자)  문1. 업무 시작 : 분
a177104,(시간사용) (취업자)  문1. 업무 종료 : 일
a177105,(시간사용) (취업자)  문1. 업무 종료 : 시
a177106,(시간사용) (취업자)  문1. 업무 종료 : 분
a177107,(시간사용) (취업자)  문2. (1) 작업준비 - 시간
a177108,(시간사용) (취업자)  문2. (1) 작업준비 - 분
a177109,(시간사용) (취업자)  문2. (2) 업무대기-시간
a177110,(시간사용) (취업자)  문2. (2) 업무대기-분
a177111,(시간사용) (취업자)  문2. (3) 점심식사-시간
a177112,(시간사용) (취업자)  문2. (3) 점심식사-분
a177113,(시간사용) (취업자)  문2. (4) 휴게-시간
a177114,(시간사용) (취업자)  문2. (4) 휴게분
a177115,(시간사용) (취업자)  문2. (5) 저녁식사-시간
a177116,(시간사용) (취업자)  문2. (5) 저녁식사-분
a177117,(시간사용) (취업자)  문2. (6) 작업정리-시간
a177118,(시간사용) (취업자)  문2. (6) 작업정리-분
a177119,(시간사용) (취업자)  문3. 근로시간변경 결정 여부
a177120,(시간사용) (취업자)  문4-1. 업무량 수준(정규근로시간대비)
a177121,(시간사용) (취업자)  문4-2. 업무량 수준(전체 근로시간대비)
a177122,(시간사용) (취업자)  문5. 근로시간 변경 희망
a177123,(시간사용) (취업자)  문5-1. (1) 희망 1일평균근로시간 : 시간
a177124,(시간사용) (취업자)  문5-1. (1) 희망 1일평균근로시간 : 분
a177125,(시간사용) (취업자)  문5-1. (2) 희망 주당평균근로일 : 일
a177126,(시간사용) (취업자)  문6. 출퇴근시간
a177127,(시간사용) (취업자)  문6. 현행 출퇴근 시간 출근 시간 :  시
a177128,(시간사용) (취업자)  문6. 현행 출퇴근 시간 출근 시간 : 분
a177129,(시간사용) (취업자)  문6. 현행 출퇴근 시간 퇴근 시간 : 시
a177130,(시간사용) (취업자)  문6. 현행 출퇴근 시간 퇴근 시간 : 분
a177131,(시간사용) (취업자)  문6. 출퇴근시간 변경 희망여부
a177132,(시간사용) (취업자)  문6. 희망하는 출퇴근 시간 출근 시간 : 시
a177133,(시간사용) (취업자)  문6. 희망하는 출퇴근 시간 출근 시간 : 분
a177134,(시간사용) (취업자)  문6. 희망하는 출퇴근 시간 퇴근 시간 : 시
a177135,(시간사용) (취업자)  문6. 희망하는 출퇴근 시간 퇴근 시간 : 분
a177136,(시간사용) (취업자)  문6-1. 변경희망 이유
a177138,(시간사용) (취업자)  문7.출퇴근 시간 변경 가능 여부
a177139,(시간사용) (취업자)  문8. 근무시간 중 개인 용무 가능 여부
a177140,(시간사용) (취업자)  문9. 시간제 일자리 필요여부
a177141,(시간사용) (취업자)  문10. 시간제 일자리 사용 의향
a177201,(시간사용) (임금근로자)  문11. 연(월)차 휴가 유무
a177202,(시간사용) (임금근로자)  문11-1. 사용 가능 연(월)차휴가 일
a177203,(시간사용) (임금근로자)  문11-1. 실제로 사용한 2013년 연(월)차휴가 일
a177204,(시간사용) (임금근로자)  문11-1-1. 연(월)차휴가 희망날에 사용 불가 이유
a177206,(시간사용) (임금근로자)  문11-2. 미 사용 연(월)차휴가 수당 지급 여부
a177207,(시간사용) (임금근로자)  문11-3. 연(월)차휴가 사용 자율성
a177208,(시간사용) (임금근로자)  문11-3-1.연(월)차 휴가 자율성 부재 이유
a177210,(시간사용) (임금근로자)  문12. 미사용 연(월)차휴가 처리 방법
a177211,(시간사용) (임금근로자)  문13. 휴일 근무 일수(한달)
a177212,(시간사용) (임금근로자)  문14. 휴일 근무 이유
a177301,(시간사용) (시간제 근로자)  문15. 시간제 유형1
a177302,(시간사용) (시간제 근로자)  문15. 시간제 유형2
a177303,(시간사용) (시간제 근로자)  문15. 시간제 유형3
a177304,(시간사용) (시간제 근로자)  문15. 시간제 유형3
