vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a030101,(청년)학력 - 1
a030102,(청년)학력 - 2
a030103,(청년)학력 - 3
a030104,(청년)학력 - 4
a030105,(청년)학력 - 5
a030111,(청년)학년(학기) - 1.고등학교
a030112,(청년)학년(학기) - 2.전문대학
a030113,(청년)학년(학기) - 3.대학교(4년제)
a030114,(청년)학년(학기) - 4.대학원 석사과정
a030115,(청년)학년(학기) - 5.대학원 박사과정
a030121,(청년)유형 - 1.고등학교
a030122,(청년)유형 - 2.전문대학
a030123,(청년)유형 - 3.대학교(4년제)
a030124,(청년)유형 - 4.대학원 석사과정
a030125,(청년)유형 - 5.대학원 박사과정
a030131,(청년)계열/전공 - 1.고등학교
a030132,(청년)계열/전공 - 2.전문대학
a030133,(청년)계열/전공 - 3.대학교(4년제)
a030134,(청년)계열/전공 - 4.대학원 석사과정
a030135,(청년)계열/전공 - 5.대학원 박사과정
a030136,(청년)학교이름 - 1.고등학교
a030137,(청년)학교이름 - 2.전문대학
a030138,(청년)학교이름 - 3.대학교(4년제)
a030139,(청년)학교이름 - 4.대학원 석사과정
a030140,(청년)학교이름 - 5.대학원 박사과정
a030141,(청년)소재지(도) - 1.고등학교
a030142,(청년)소재지(도) - 2.전문대학
a030143,(청년)소재지(도) - 3.대학교(4년제)
a030144,(청년)소재지(도) - 4.대학원 석사과정
a030145,(청년)소재지(도) - 5.대학원 박사과정
a030151,(청년)졸업/그만둔시기(년)-1.고등학교
a030152,(청년)졸업/그만둔시기(년)-2.전문대학
a030153,(청년)졸업/그만둔시기(년)-3.대학(4년
a030154,(청년)졸업/그만둔시기(년)-4.대학원(
a030155,(청년)졸업/그만둔시기(년)-5.대학원(
a030161,(청년)졸업/그만둔시기(월)-1.고등학교
a030162,(청년)졸업/그만둔시기(월)-2.전문대학
a030163,(청년)졸업/그만둔시기(월)-3.대학교(4
a030164,(청년)졸업/그만둔시기(월)-4.대학원(
a030165,(청년)졸업/그만둔시기(월)-5.대학원(
a030171,(청년)휴학여부
a030172,휴학횟수
a030181,(청년)휴학시작시기(년) -    1
a030186,(청년)휴학시작시기(년) -    2
a030191,(청년)휴학시작시기(년) -    3
a030182,(청년)휴학시작시기(월) -    1
a030187,(청년)휴학시작시기(월) -    2
a030192,(청년)휴학시작시기(월) -    3
a030183,(청년)휴학종료시기(년) -    1
a030188,(청년)휴학종료시기(년) -    2
a030193,(청년)휴학종료시기(년) -    3
a030184,(청년)휴학종료시기(월) -    1
a030189,(청년)휴학종료시기(월) -    2
a030194,(청년)휴학종료시기(월) -    3
a030173,(청년)재학생 여부
a030201,(청년)졸업당시 건강상태
a030211,(청년)자격증 취득여부
a030221,(청년)자격증 종류 - 1
a030222,(청년)자격증 종류 - 2
a030223,(청년)자격증 종류 - 3
a030224,(청년)자격증 종류 - 4
a030225,(청년)자격증 종류 - 5
a030231,(청년)직업훈련 받은 경험
a030232,(청년)직업훈련 갯수
a030241,(청년)훈련의 종류 -    1
a030251,(청년)훈련의 종류 -    2
a030261,(청년)훈련의 종류 -    3
a030242,(청년)기간(년) -    1
a030252,(청년)기간(년) -    2
a030262,(청년)기간(년) -    3
a030243,(청년)기간(개월) -    1
a030253,(청년)기간(개월) -    2
a030263,(청년)기간(개월) -    3
a030244,(청년)학기 -    1
a030254,(청년)학기 -    2
a030264,(청년)학기 -    3
a030271,(청년)아르바이트 경험
a030272,(청년)취업내용
a030273,(청년)일한기간(년)
a030274,(청년)일한기간(개월)
a030301,(청년)구직활동 경험
a030311,(청년)구직경로 - 1
a030312,(청년)구직경로 - 2
a030321,(청년)구직활동기간(개월)
a030322,(청년)구직활동기간(주)
a030323,(청년)주당 구직활동 일수
a030324,(청년)하루에 구직활동 시간
a030331,(청년)취업제의 경험
a030332,(청년)취업제의 횟수
a030333,(청년)취업거절 경험
a030334,(청년)취업거절 이유
a030341,(청년)2개월이상 취업경험
a030342,(청년)취업 횟수
a030401,(청년)정보통신/인터넷 관련 업체
