vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a083501,응답대상여부
a083502,하고있는일-응답대상중자영업자인경우
a083511,(노사관계)노동조합유무
a083512,(노사관계)노조가없어질경우근무환경
a083513,(노사관계)노조가생길경우근무환경
a083514,(노사관계)노조원여부
a083515,(노사관계)노조가입이유
a083516,(노사관계)노조탈퇴의사
a083517,(노사관계)노조상급단체
a083521,(노사관계)동의정도-1.나는노동조합소식지를관심있게읽는다
a083522,(노사관계)동의정도-2.나는노동조합투표에적극적으로참여한다
a083523,(노사관계)동의정도-3.나는노동조합집회에적극적으로참여한다
a083524,(노사관계)동의정도-4.나는조합원이아닌사람들에게조합가입을적극권유한다
a083525,(노사관계)동의정도-5.나는파업에적극적으로참여한다
a083526,(노사관계)동의정도-6.나는노동조합간부제의를받으면수락하겠다
a083531,(노사관계)경영자와노조와의관계
a083532,(노사관계)동일임금협상적용여부
a083533,(노사관계)동일단체협약적용여부
a083534,(노사관계)노조비가입이유
a083535,(노사관계)노조가입의향
a083541,(노사관계)동의정도-1.나는노동조합소식지를관심있게읽겠다
a083542,(노사관계)동의정도-2.나는노동조합투표에적극적으로참여하겠다
a083543,(노사관계)동의정도-3.나는노동조합집회에적극적으로참여하겠다
a083544,(노사관계)동의정도-4.나는조합원이아닌사람들에게조합가입을적극권유하겠다
a083545,(노사관계)동의정도-5.나는파업에적극적으로참여하겠다
a083546,(노사관계)동의정도-6.나는노동조합간부제의를받으면수락하겠다
a083551,(노사관계)노조가입경험
a083552,(노사관계)현직장노조필요성
a083553,(노사관계)재취업시노조희망여부
a083554,(노사관계)1년이내사직의사
a083601,(노사관계)노사협의회운영여부
a083602,(노사관계)노사협의회운영관심도
a083611,(노사관계)동의정도-1.우리회사의노사협의회는근로자들의근로조건개선에도움이된다
a083612,(노사관계)동의정도-2.우리회사의노사협의회는직장에서산업재해예방에도움이된다
a083613,(노사관계)동의정도-3.우리회사의노사협의회는직장에서근로기준법준수에도움이된다
a083614,(노사관계)동의정도-4.우리회사의노사협의회의근로자측위원은전체근로자들의의견을잘_
a083615,(노사관계)동의정도-5.우리회사의노사협의회는기업의성장에기여하고있다
a083616,(노사관계)동의정도-6.우리회사의노사협의회는근로자들이기업의경영정보를얻는데기여_
a083617,(노사관계)동의정도-7.우리회사의노사협의회는회사에대한근로자들의신뢰를높이는데기_
a083618,(노사관계)동의정도-8.생산성 향상을위한논의가잘이루어지고있다
a083621,(노사관계)노사협의회근로사측대표선출방식
a083622,(노사관계)투표참여경험
a083623,(노사관계)노사협의회결정사항공지
a083624,(노사관계)노사협의회필요성
a083701,(노사관계)최고책임자와전직원이함께하는모임-존재여부
a083702,(노사관계)최고책임자와전직원이함께하는모임-내실있게운영
a083703,(노사관계)최고책임자와전직원이함께하는모임-필요성
a083711,(노사관계)직속상관위에있는차상급자이상의관리자에게찾아가요구할수있는통로-존재여_
a083712,(노사관계)직속상관위에있는차상급자이상의관리자에게찾아가요구할수있는통로-내실있_
a083713,(노사관계)직속상관위에있는차상급자이상의관리자에게찾아가요구할수있는통로-필요성
a083721,(노사관계)노동조합이나노사협의회이외의근로자대표모임-존재여부
a083722,(노사관계)노동조합이나노사협의회이외의근로자대표모임-내실있게운영
a083723,(노사관계)노동조합이나노사협의회이외의근로자대표모임-필요성
a083731,(노사관계)정기적인팀회의-존재여부
a083732,(노사관계)정기적인팀회의-내실있게운영
a083733,(노사관계)정기적인팀회의-근로조건주제논의
a083734,(노사관계)정기적인팀회의-필요성
a083741,(노사관계)소집단활동-존재여부
a083742,(노사관계)소집단활동-내실있게운영
a083743,(노사관계)소집단활동-근로조건주제논의
a083744,(노사관계)소집단활동-필요성
a083751,(노사관계)청원또는소원통로-존재여부
a083752,(노사관계)청원또는소원통로-내실있게운영
a083754,(노사관계)청원또는소원통로-필요성
a083761,(노사관계)공식적제안제도-존재여부
a083762,(노사관계)공식적제안제도-내실있게운영
a083763,(노사관계)공식적제안제도-근로조건주제논의
