vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a116101,(교육)문1. 중학교 다녔는지 여부
a116102,(교육)문1-1. 중학교에 다니지 않은 이유
a116103,(교육)문1-2. 중학교 검정고시 여부
a116111,(교육)문1-3. 중학교 입학한 시기 _ 년
a116112,(교육)문1-3. 중학교 졸업한 시기 _ 년
a116113,(교육)문1-4.중학교 총 개수
a116121,(교육)문1-5. 최종 중학교 이름
a116122,(교육)문1-5. 최종 중학교 위치(국내/국외)
a116123,(교육)문1-5. 최종 중학교 위치(시/도)
a116124,(교육)문1-5. 최종 중학교 위치(시/군/구)
a116125,(교육)문1-5. 최종 중학교 위치(국가명)
a116126,(교육)문1-5. 최종 중학교 형태
a116127,(교육)문1-6. 최종 중학교 남녀공학
a116131,(교육)문1-5. 최초 중학교 이름
a116132,(교육)문1-5. 최초 중학교 위치(국내/국외)
a116133,(교육)문1-5. 최초 중학교 위치(시/도)
a116134,(교육)문1-5. 최초 중학교 위치(시/군/구)
a116135,(교육)문1-5. 최초 중학교 위치(국가명)
a116136,(교육)문1-5. 최초 중학교 형태
a116137,(교육)문1-6. 최초 중학교 남녀공학
a116141,(교육)문1-7. 중학교 생활 만족도
a116142,(교육)문1-8. 중학교 학교/학급 간부 여부
a116143,(교육)문1-9. 중학교 가장 잘 했던 과목
a116144,(교육)문1-10. 중학교 가장 못했던 과목
a116145,(교육)문2. 중2 때 수면시간
a114202,(교육)문3. 중2 때 사교육 경험
a114203,(교육)문3-1. 받은 사교육 개수
a114211,(교육)문3-1. 사교육 이용 종류 - 1
a114210,(교육)문3-1. 사교육 이용한 기간 - 1
a114212,(교육)문3-1. 사교육 이용 종류 - 2
a114220,(교육)문3-1. 사교육 이용한 기간 - 2
a114213,(교육)문3-1. 사교육 이용 종류 - 3
a114230,(교육)문3-1. 사교육 이용한 기간 - 3
a114214,(교육)문3-1. 사교육 이용 종류 - 4
a114240,(교육)문3-1. 사교육 이용한 기간 - 4
a114215,(교육)문3-1. 사교육 이용 종류 - 5
a114250,(교육)문3-1. 사교육 이용한 기간 - 5
a114244,(교육)문4. 중2 때 혼자서 공부한 시간
a114251,(교육)문5. 중2 때 전반적인 학교 성적
a114252,(교육)문5-1. 중2 때 국어 성적
a114253,(교육)문5-1. 중2 때 영어 성적
a114254,(교육)문5-1. 중2 때 수학 성적
a116151,(교육)문6. 중학교 중퇴한 이유
a116152,(교육)문6-1. 중퇴한 중학교의 입학한 시기 _ 년
a116153,(교육)문6-1. 중퇴한 중학교의 중퇴한 시기 _ 년
a116154,(교육)문6-2. 중퇴한 중학교 총 개수
a116161,(교육)문6-3. 중퇴한 최종 중학교 이름
a116162,(교육)문6-3. 중퇴한 최종 중학교 위치(국내/국외)
a116163,(교육)문6-3. 중퇴한 최종 중학교 위치(시/도)
a116164,(교육)문6-3. 중퇴한 최종 중학교 위치(시/군/구)
a116165,(교육)문6-3. 중퇴한 최종 중학교 위치(국가명)
a116166,(교육)문6-3. 중퇴한 최종 중학교 형태
a116167,(교육)문6-4. 중퇴한 최종 중학교 남녀공학
a116171,(교육)문6-3. 최초 중학교 이름
a116172,(교육)문6-3. 최초 중학교 위치(국내/국외)
a116173,(교육)문6-3. 최초 중학교 위치(시/도)
a116174,(교육)문6-3. 최초 중학교 위치(시/군/구)
a116175,(교육)문6-3. 최초 중학교 위치(국가명)
a116176,(교육)문6-3. 최초 중학교 형태
a116177,(교육)문6-4. 최초 중학교 남녀공학
a116178,(교육)문6-5. 중퇴한 중학교 검정고시 여부
a116201,(교육)문7. 고등학교 다녔는지 여부
a116202,(교육)문7-1. 고등학교에 다니지 않은 이유
a116203,(교육)문7-2. 고등학교 검정고시 여부
a116211,(교육)문7-3. 고등학교 입학한 시기 _ 년
a116212,(교육)문7-3. 고등학교 졸업한 시기 _ 년
a116213,(교육)문7-4. 고등학교 총 개수
a116221,(교육)문7-5. 최종 고등학교 이름
a116222,(교육)문7-5. 최종 고등학교 위치(국내/국외)
