vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a041101,(건강)현재 건강상태
a041102,(건강)1년전 비교시 현재 건강상태
a041103,(건강)구직시 건강상 이유
a041104,(건강)건강상 일종류 제한
a041201,(건강)심신장애/장해 여부
a041202,(건강)장애/장해 종류 1
a041203,(건강)장애/장해 종류 2
a041204,(건강)장애/장해 종류 3
a041205,(건강)장애/장해 종류 4
a041206,(건강)장애/장해 종류 5
a041211,(건강)장애/장해 구분 - 1.지체
a041212,(건강)판정여부 - 1.지체
a041213,(건강)판정시기(년) - 1.지체
a041214,(건강)판정시기(월) - 1.지체
a041215,(건강)급수 - 1.지체
a041221,(건강)장애/장해 구분 - 2.시각
a041222,(건강)판정여부 - 2.시각
a041223,(건강)판정시기(년) - 2.시각
a041224,(건강)판정시기(월) - 2.시각
a041225,(건강)급수 - 2.시각
a041231,(건강)장애/장해 구분 - 3.청각언어
a041232,(건강)판정여부 - 3.청각언어
a041233,(건강)판정시기(년) - 3.청각언어
a041234,(건강)판정시기(월) - 3.청각언어
a041235,(건강)급수 - 3.청각언어
a041241,(건강)장애/장해 구분 - 4.정신
a041242,(건강)판정여부 - 4.정신
a041243,(건강)판정시기(년) - 4.정신
a041244,(건강)판정시기(월) - 4.정신
a041245,(건강)급수 - 4.정신
a041251,(건강)장애/장해 구분 - 5.기타
a041252,(건강)판정여부 - 5.기타
a041253,(건강)판정시기(년) - 5.기타
a041254,(건강)판정시기(월) - 5.기타
a041255,(건강)급수 - 5.기타
a041261,(건강)산업재해 여부
a041262,(건강)장애/장해 발생시기
a041263,(건강)장애/장해 발생시 직장보유
a041264,(건강)장애/장해 발생후 직장에서 계
a041301,(건강)지병 보유
a041302,(건강)지병 종류 1
a041303,(건강)지병 종류 2
a041304,(건강)지병 종류 3
a041305,(건강)지병 시작시기(년)
a041306,(건강)지병 시작시기(월)
a041307,(건강)지병 시작시기(나이)
a041311,(건강)병원방문
a041312,(건강)병원방문 유형
a041313,(건강)병원방문 주기
a041314,(건강)정기적 약 복용
a041321,(건강)입원경험
a041322,(건강) 입원시작시기(년)
a041323,(건강) 입원시작시기(월)
a041324,(건강) 입원종료시기(년)
a041325,(건강) 입원종료시기(월)
a041326,(건강) 입원기간(일)
a041327,(건강)입원이유
a041328,(건강)수술여부
a041331,(건강)정기 건강진단
a041332,(건강)건강진단 주기
a041333,(건강)최근 건강진단 여부
a041334,(건강)최근 건강진단 시기(년)
a041335,(건강)최근 건강진단 시기(월)
a041341,(건강)최근 1년 의료기관 이용여부
a041342,(건강)최근 1년 의료기관 이용횟수
a041343,(건강)최근 1년 의료기관 이용기간(일
a041344,(건강)최근 1개월 의료기관 이용여
a041345,(건강)최근 1개월 의료기관 이용횟
a041346,(건강)최근 1개월 의료기관 이용기
a041347,(건강)의료기관 이용시작시기(년)
a041348,(건강)의료기관 이용시작시기(월)
a041349,(건강)의료기관 이용종료시기(년)
a041350,(건강)의료기관 이용종료시기(월)
a041351,(건강)의료기관 이용기간(일)
a041352,(건강)병명
a041353,(건강)의료기관 형태
a041354,(건강)의료서비스 1
a041355,(건강)의료서비스 2
a041356,(건강)의료서비스 3
a041401,(건강)국민건강보험 가입여부
a041402,(건강)본인명의 가입
a041403,(건강)국민건강보험 가입명의
a041404,(건강)국민건강보험료(천)
a041411,(건강)상해보험 가입여부
a041412,(건강)상해보험 가입갯수
a041413,(건강)상해보험료(천)
a041421,(건강)최근 1개월 약값 제외 비용여부
a041422,(건강)최근 1개월 약값 제외 비용(천)
a041423,(건강)최근 1개월 약값 비용여부
a041424,(건강)최근 1개월 약값 비용(천)
a041425,(건강)최근 1년 약값 제외 비용여부
a041426,(건강)최근 1년 약값 제외 비용(천)
a041427,(건강)최근 1년 약값 비용여부
a041428,(건강)최근 1년 약값 비용(천)
a041111,(건강)흡연여부
a041112,(건강)흡연 시작시기
a041113,(건강)하루평균 흡연량
a041121,(건강)음주여부
a041122,(건강)월평균 음주빈도
a041131,(건강)정기적 운동 여부
