vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a061702,(중고령)은퇴 여부
a061721,(중고령)은퇴시기
a061722,(중고령)은퇴당시 나이
a061723,(중고령)은퇴이유-1
a061724,(중고령)은퇴이유-2
a061725,(중고령)은퇴당시 배우자 존재
a061726,(중고령)은퇴당시 배우자 경제활동상
a061703,(중고령)은퇴계획
a061704,(중고령)은퇴계획 나이
a061801,(중고령)취업활동 여부
a061802,(중고령)주일자리 여부
a061705,(중고령)정년 여부
a061706,(중고령)정년
a061811,(중고령)사업내용
a061812,(중고령)주로 하던 일
a061813,(중고령)직책/직위
a061814,(중고령)취업시작시기(년)
a061815,(중고령)취업시작시기(월)
a061816,(중고령)취업종료시기(년)
a061817,(중고령)취업종료시기(월)
a061818,(중고령)종사상 지위
a061819,(중고령)고용형태
a061820,(중고령)시간제 근로여부
a061821,(중고령)전체 종업원수
a061822,(중고령)주당 평균 근로시간
a061823,(중고령)주당 평균 근로일수
a061824,(중고령)월평균 임금(만)
a061825,(중고령)정년 여부
a061826,(중고령)정년
a061827,(중고령)그만둔 이유
a061828,(중고령)구체적 퇴직사유
a061831,(중고령)취업활동 여부
a061832,(중고령)종사상 지위
a061833,(중고령)사업내용
a061834,(중고령)주로 하던 일
a061835,(중고령)직책/직위
a061836,(중고령)만45세 되던 해 구직활동
a061901,(중고령)소득 유/무 - 1.본인의 근로
a061911,(중고령)액수(만) - 1.본인의 근로소
a061902,(중고령)소득 유/무 - 2.배우자의 근
a061912,(중고령)액수(만) - 2.배우자의 근로
a061903,(중고령)소득 유/무 - 3.공적 연금소
a061913,(중고령)액수(만) - 3.공적 연금소득
a061904,(중고령)소득 유/무 - 4.개인 연금소
a061914,(중고령)액수(만) - 4.개인 연금소득
a061905,"(중고령)소득 유/무 - 5.저축,주식,보"
a061915,"(중고령)액수(만) - 5.저축,주식,보험"
a061906,(중고령)소득 유/무 - 6.임대수입 등
a061916,(중고령)액수(만) - 6.임대수입 등 부
a061907,(중고령)소득 유/무 - 7.사회보험 수
a061917,(중고령)액수(만) - 7.사회보험 수급
a061908,(중고령)소득 유/무 - 8.정부 및 사회
a061918,(중고령)액수(만) - 8.정부 및 사회단
a061909,(중고령)소득 유/무 - 9.기타
a061919,(중고령)액수(만) - 9.기타
a061921,(중고령)소득원 기타-1
a061922,(중고령)소득원 기타-2
a061931,(중고령)납부 여부 - 1.공적연금
a061941,(중고령)납부액(만) - 1.공적연금
a061932,(중고령)납부 여부 - 2.사적연금
a061942,(중고령)납부액(만) - 2.사적연금
a061933,"(중고령)납부 여부 - 3.예금/적금,저"
a061943,"(중고령)납부액(만) - 3.예금/적금,저"
a061934,"(중고령)납부 여부 - 4.주식,유가증권"
a061944,"(중고령)납부액(만) - 4.주식,유가증"
a061951,(중고령)최소한도 생활비(만)
a061952,(중고령)적정 수준 생활비(만)
a062001,(중고령)자녀 여부
a062002,(중고령)자녀수-아들
a062003,(중고령)자녀수-딸
a062004,(중고령)경제적 도움 받는지 여부
a062011,(중고령)도움 받는지 여부 - 1.장남
a062021,(중고령)도움 받는 액수(만) - 1.장
a062012,(중고령)도움 받는지 여부 - 2.그
a062022,(중고령)도움 받는 액수(만) - 2.그
a062013,(중고령)도움 받는지 여부 - 3.딸/
a062023,(중고령)도움 받는 액수(만) - 3.딸
a062014,(중고령)도움 받는지 여부 - 4.미혼
a062024,(중고령)도움 받는 액수(만) - 4.미
a062015,(중고령)도움 받는지 여부 - 5.손자
a062025,(중고령)도움 받는 액수(만) - 5.손
a062016,(중고령)도움 받는지 여부 - 6.부모
a062026,(중고령)도움 받는 액수(만) - 6.부
a062017,(중고령)도움 받는지 여부 - 7.형제
a062027,(중고령)도움 받는 액수(만) - 7.형
a062018,(중고령)도움 받는지 여부 - 8.기타
a062028,(중고령)도움 받는 액수(만) - 8.기
a062005,(중고령)경제적 도움 주는지 여부
a062031,(중고령)도움 주는지 여부 - 1.장남
a062041,(중고령)도움 주는 액수(만) - 1.장
a062032,(중고령)도움 주는지 여부 - 2.그
a062042,(중고령)도움 주는 액수(만) - 2.그
a062033,(중고령)도움 주는지 여부 - 3.딸/
a062043,(중고령)도움 주는 액수(만) - 3.딸
a062034,(중고령)도움 주는지 여부 - 4.미혼
a062044,(중고령)도움 주는 액수(만) - 4.미
a062035,(중고령)도움 주는지 여부 - 5.손자
a062045,(중고령)도움 주는 액수(만) - 5.손
a062036,(중고령)도움 주는지 여부 - 6.부모
a062046,(중고령)도움 주는 액수(만) - 6.부
a062037,(중고령)도움 주는지 여부 - 7.형제
a062047,(중고령)도움 주는 액수(만) - 7.형
a062038,(중고령)도움 주는지 여부 - 8.기타
a062048,(중고령)도움 주는 액수(만) - 8.기
a062051,(중고령)부모 생존 여부
a062062,(중고령)부모님 부양자
a062063,(중고령)부모님 생존시 부양자
a062064,(중고령)타인 접촉빈도
a062065,(중고령)취미활동 할애시간
a062066,(중고령)모임 참여빈도
a062067,(중고령)단체 가입 여부
a062071,(중고령)가입 단체-1
a062072,(중고령)가입 단체-2
a062073,(중고령)가입 단체-3
a062074,(중고령)가입 단체-4
a062075,(중고령)가입 단체-5
a062076,(중고령)가입 단체-6
a062077,(중고령)가입 단체-7
a062078,(중고령)가입 단체-8
a062079,(중고령)가입 단체-9
a062080,(중고령)가입 단체-10
a062081,(중고령)아파서 쉰 경험
a062082,(중고령)쉰 날 수
a062083,(중고령)활동 제한 여부
a062084,(중고령)활동 제한 원인
version,21차년도 release 자료
