vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a199101, (청년) 문1. 현재 중학교 재학 여부 
a199102, (청년) 문2. 정규 고등학교에 다니고 있거나 다닌 적 여부 
a199103, (청년) 문3. 고등학교 유형 
a199104, (청년) 문4. 고등학교 입학시기(년) 
a199105, (청년) 문4. 고등학교 졸업여부 
a199106, (청년) 문4. 고등학교 졸업시기(년) 
a199107, (청년) 문4. 고등학교 중퇴시기(년) 
a199108, (청년) 문5. 대학(전문대 포함)에 다니고 있거나 다닌 적 여부 
a199109, (청년) 문5. 대학(전문대 포함)에 다니고 있거나 다닌 개수 
a199110, (청년) (첫번째 학교) 문5-1. 대학(전문대 포함) 입학시기(년) 
a199111, (청년) (첫번째 학교) 문5-2. 대학 이름 
a199112, (청년) (첫번째 학교) 문5-2. 대학 전공 
a199113, (청년) (첫번째 학교) 문5-3. 대학 유형 
a199114, (청년) (첫번째 학교) 문5-4. 대학 편입 여부 
a199115, (청년) (첫번째 학교) 문5-5. 대학 학점(통상 평균평점 
a199116, (청년) (첫번째 학교) 문5-6. 대학 졸업여부 
a199117, (청년) (첫번째 학교) 문5-6. 대학 졸업시기(년) 
a199118, (청년) (첫번째 학교) 문5-6. 대학 중퇴시기(년) 
a199119, (청년) (두번째 학교) 문5-1. 대학(전문대 포함) 입학시기(년) 
a199120, (청년) (두번째 학교) 문5-2. 대학 이름 
a199121, (청년) (두번째 학교) 문5-2. 대학 전공 
a199122, (청년) (두번째 학교) 문5-3. 대학 유형 
a199123, (청년) (두번째 학교) 문5-4. 대학 편입 여부 
a199124, (청년) (두번째 학교) 문5-5. 대학 학점(통상 평균평점 
a199125, (청년) (두번째 학교) 문5-6. 대학 졸업여부 
a199126, (청년) (두번째 학교) 문5-6. 대학 졸업시기(년) 
a199127, (청년) (두번째 학교) 문5-6. 대학 중퇴시기(년) 
a199128, (청년) (세번째 학교) 문5-1. 대학(전문대 포함) 입학시기(년) 
a199129, (청년) (세번째 학교) 문5-2. 대학 이름 
a199130, (청년) (세번째 학교) 문5-2. 대학 전공 
a199131, (청년) (세번째 학교) 문5-3. 대학 유형 
a199132, (청년) (세번째 학교) 문5-4. 대학 편입 여부 
a199133, (청년) (세번째 학교) 문5-5. 대학 학점(통상 평균평점 
a199134, (청년) (세번째 학교) 문5-6. 대학 졸업여부 
a199135, (청년) (세번째 학교) 문5-6. 대학 졸업시기(년) 
a199137, (청년) 문6. 대학원 다니고 있거나 다닌적 여부 
a199138, (청년) 문6. 대학원을 다니고 있거나 다닌 개수 
a199139, (청년) (첫번째 학교) 문6-1. 대학원 입학시기(년) 
a199140, (청년) (첫번째 학교) 문6-2. 대학원 이름 
a199141, (청년) (첫번째 학교) 문6-2. 대학원 전공 
a199142, (청년) (첫번째 학교) 문6-3. 대학원 과정 
a199143, (청년) (첫번째 학교) 문6-4. 대학원 진학 동기 
a199144, (청년) (첫번째 학교) 문6-5. 대학원 졸업여부 
a199145, (청년) (첫번째 학교) 문6-5. 대학원 졸업시기(년) 
a199146, (청년) (첫번째 학교) 문6-5. 대학원 수료시기(년) 
a199147, (청년) (첫번째 학교) 문6-5. 대학원 중퇴시기(년) 
a199148, (청년) (두번째 학교) 문6-1. 대학원 입학시기(년) 
a199149, (청년) (두번째 학교) 문6-2. 대학원 이름 
a199150, (청년) (두번째 학교) 문6-2. 대학원 전공 
a199151, (청년) (두번째 학교) 문6-3. 대학원 과정 
a199152, (청년) (두번째 학교) 문6-4. 대학원 진학 동기 
a199153, (청년) (두번째 학교) 문6-5. 대학원 졸업여부 
a199154, (청년) (두번째 학교) 문6-5. 대학원 수료시기(년) 
a199201, (청년) 문7. 취업준비 여부 
a199202, (청년) 문7-1. 취업 준비 시작시기 
a199203, (청년) 문7-1. 취업 준비 재학중 시작(년) 
a199204, (청년) 문7-1. 취업 준비 재학중 시작(월) 
a199205, (청년) 문7-1. 취업 준비 졸업유예기간부터 시작(년) 
