vname,lname
pid,개인고유번호
wave,패널차수(부가조사 조사차수)
a188101, (삶의 인식) 문1. 성격 1) 일을 할 때는 아주 꼼꼼하게 한다 
a188102, (삶의 인식) 문1. 성격 2) 사람들과 대화를 즐기는 편이다 
a188103, (삶의 인식) 문1. 성격 3) 다른 사람들에게 무뚝뚝한 편이다 
a188104, (삶의 인식) 문1. 성격 4) 나는 새롭고 창의적인 아이디어가 많다 
a188105, (삶의 인식) 문1. 성격 5) 평소에 걱정을 많이 하는 편이다 
a188106, (삶의 인식) 문1. 성격 6) 남과 싸워도 금방 화해하는 성격이다 
a188107, (삶의 인식) 문1. 성격 7) 게으를 정도로 느긋한 편이다 
a188108, (삶의 인식) 문1. 성격 8) 다른 사람과 잘 어울리는 편이다 
a188109, (삶의 인식) 문1. 성격 9) 예술적 체험은 나에게 매우 중요하다 
a188110, (삶의 인식) 문1. 성격 10) 매사에 긴장을 많이 하는 편이다 
a188111, (삶의 인식) 문1. 성격 11) 일처리는 효과적이고 효율적으로 한다 
a188112, (삶의 인식) 문1. 성격 12) 나는 내성적인 편이다 
a188113, (삶의 인식) 문1. 성격 13) 남의 입장을 배려하고 친절한 편이다 
a188114, (삶의 인식) 문1. 성격 14) 나는 상상력이 아주 많다 
a188115, (삶의 인식) 문1. 성격 15) 스트레스를 잘 견디고 느긋한 편이다 
a188116, (삶의 인식) 문2. 통제  1) 내 인생은 내가 하기 나름이다 
a188117, (삶의 인식) 문2. 통제  2) 다른 사람에 비하면 나는 성공하지 못한 사람이다 
a188118, (삶의 인식) 문2. 통제  3) 인생의 성공은 운명이나 행운에 더 많이 좌우된다 
a188119," (삶의 인식) 문2. 통제  4) 누구나 사회적, 정치적으로 참여하면 우리 사회의 변화에"
a188120, (삶의 인식) 문2. 통제  5) 많은 경우 다른 사람이 내 인생을 좌지우지하는 느낌이다
a188121, (삶의 인식) 문2. 통제  6) 누구나 성공을 하려면 열심히 노력해야 한다 
a188122, (삶의 인식) 문2. 통제  7) 살면서 어려운 일이 생기면 나 자신의 역량이 부족하다고
a188123, (삶의 인식) 문2. 통제  8) 내 인생의 기회는 무엇보다 내가 처한 사회적 여건에 좌_
a188124, (삶의 인식) 문2. 통제  9) 선천적 재능이 개개인의 노력보다 더 중요하다 
a188125, (삶의 인식) 문2. 통제 10) 내 인생에서 일어나는 일들은 나도 어쩔 수 없는 경우가 
a188126," (삶의 인식) 문3. 상호성 1) 누가 나에게 호의를 베푼다면, 나도 보답할 용의가 있다"
a188127, (삶의 인식) 문3. 상호성 2) 나에게 친절히 대한 사람은 어떻게 해서라도 반드시 도_
a188128, (삶의 인식) 문3. 상호성 3) 이전에 나를 도와준 사람은 손해를 감수하더라도 도와줄
a188129, (삶의 인식) 문3. 상호성 4) 누가 나에게 부당한 피해를 끼쳤다면 나는 어떠한 손해_
a188130, (삶의 인식) 문3. 상호성 5) 누가 나를 곤경에 빠뜨린다면 내가 당한 만큼 그에게 되
a188131, (삶의 인식) 문3. 상호성 6) 누가 나를 공격하면 나도 맞받아칠 것이다. 
a188132, (삶의 인식) 문4. 신뢰 1) 대체로 다른 사람을 신뢰할 수 있다 
a188133, (삶의 인식) 문4. 신뢰 2) 어느 누구도 믿어서는 안 된다 
a188134, (삶의 인식) 문4. 신뢰 3) 남과 일을 할 때는 무조건 믿기보다 신중하게 처신하는 것
a188135, (삶의 인식) 문5. 위험감수 
a188136, (삶의 인식) 문6. 참을성 
a188137, (삶의 인식) 문7. 충동성 
a188138, (삶의 인식) 문8-1. 삶의 만족도 
a188139, (삶의 인식) 문8-2. 일에 대한 가치 
a188140, (삶의 인식) 문9. 삶의 사다리 
a188141, (삶의 인식) 문10. 행복 
a188142," (삶의 인식) 문11. 5년 전, 삶의 만족도 "
a188143," (삶의 인식) 문12. 5년 후, 삶의 만족도 "
version,21차년도 release 자료
nage,만나이
a188201, (장년층) 문1. 은퇴여부 
a188202, (장년층) 문2. 은퇴 시기(년) 
